callsite_id,path,line,snippet
tools/domed/check_proto_breaking.py:13,tools/domed/check_proto_breaking.py,13,"p = subprocess.run(cmd, cwd=str(cwd) if cwd else None, text=True, capture_output=True)"
tools/domed/check_proto_breaking.py:90,tools/domed/check_proto_breaking.py,90,show = subprocess.run(
tools/orchestrator/checkers.py:71,tools/orchestrator/checkers.py,71,"proc = subprocess.run(argv, capture_output=True, text=True, cwd=str(cwd) if cwd else None)"
tools/orchestrator/ingest_pattern_catalog.py:15,tools/orchestrator/ingest_pattern_catalog.py,15,out = subprocess.run([
tools/orchestrator/run_demo.py:65,tools/orchestrator/run_demo.py,65,proc = subprocess.run(
tools/orchestrator/run_live_fix_demo.py:51,tools/orchestrator/run_live_fix_demo.py,51,proc = subprocess.run(
tools/orchestrator/run_live_fix_demo.py:96,tools/orchestrator/run_live_fix_demo.py,96,"proc = subprocess.run(cmd, capture_output=True, text=True)"
tools/orchestrator/run_plan_implement_verify.py:51,tools/orchestrator/run_plan_implement_verify.py,51,proc = subprocess.run(
tools/orchestrator/run_plan_implement_verify.py:68,tools/orchestrator/run_plan_implement_verify.py,68,"proc = subprocess.run(cmd, input=stdin, capture_output=True, text=True, check=False)"
tools/orchestrator/run_plan_implement_verify.py:389,tools/orchestrator/run_plan_implement_verify.py,389,"""repo_commit_sha"": subprocess.run([""git"", ""rev-parse"", ""HEAD""], capture_output=True, text=True, check=False).stdout.strip() or ""unknown"","
